Namn|Adress|Stad/kommun|Avgift|Öppettider|Webbplats
Lögarängsbadet|Sjöhagsvägen 1, Västerås|Västerås|60 kr (vuxen lovfri vardag före kl 14; fler priser på webbplats)|Simhall: Mån–Ons 06:00–21:00; Tor 08:00–21:00; Fre 06:00–20:00; Lör 08:00–17:00; Sön 08:00–17:00|https://www.medley.se/logarangsbadet/
Tillbergabadet|Klintvägen 11, Tillberga (Västerås)|Västerås|Okänd|Okänd|https://www.vasteras.se/uppleva-och-gora/idrott-motion-och-friluftsliv/bad-badhus-och-simning/badanlaggningar/tillbergabadet.html
Vallmobadet|Vallmogatan 21, Kolbäck|Hallstahammar|Vuxen 90 kr (dagsentré)|Ordinarie: Mån 14:00–17:00 (allmänhetens bad), 17:30–20:30 (motionssim); Tis 14:00–17:00 (allmänhetens bad); Ons 06:00–08:00 (motionssim), 19:00–21:00 (motionssim); Tor endast bokade grupper; Fre 13:00–15:00 (motionssim), 15:00–19:30 (allmänhetens bad); Lör 08:00–10:00 (motionssim), 10:00–14:00 (allmänhetens bad); Sön 09:00–10:00 (motionssim), 10:00–14:00 (allmänhetens bad)|https://www.hallstahammar.se/uppleva-och-gora/bad/vallmobadet
Ekängsbadet|Ekängsvägen 25, Surahammar|Surahammar|Vuxen 63 kr (enkelbiljett)|Mån 11:30–12:30 (lunchsim), 14:00–17:30 (familjebad), 18:00–21:00 (vuxensim); Tis 14:00–19:00; Ons 06:00–08:00 (vuxensim), 11:30–12:30 (lunchsim), 14:00–17:30 (familjebad), 18:00–21:00 (kandelabersim); Tor 14:00–19:00; Fre 11:30–12:30 (lunchsim), 14:00–19:00 (familjebad); Lör 09:00–10:00 (vuxensim), 10:00–15:00 (familjebad); Sön 09:00–10:00 (vuxensim), 10:00–15:00 (familjebad)|https://surahammar.se/kultur-fritid-och-turism/ekangsbadet.html
Ekbacksbadet|Vinbäcksleden 7, 723 49 Arboga|Arboga|95 kr (vuxen inomhusbad; motionssim med bastu 54 kr)|Mån 06:30–21:00; Tis 06:30–21:00; Ons 10:00–21:00; Tor 06:30–21:00; Fre 10:00–20:00; Lör 10:00–16:00; Sön 10:00–16:00|https://arboga.se/uppleva-och-gora/simma-och-bada/ekbacksbadet.html
Kungsörs Badhus|Drottninggatan 34, Kungsör|Kungsör|Vuxen 40 kr (dagsentré)|Okänd|https://kungsor.se/uppleva-och-gora/simma-och-bada/badhuset/oppettider-och-priser.html
Köpings Bad & Sport|Badvägen 3, Köping|Köping|Vuxen 85 kr (dagsentré, ordinarie)|Okänd|https://koping.se/kultur-fritid--natur/simma-och-bada/kopings-bad--sport.html
Lärkans familjebad|Sportfältsgatan 4C, 733 36 Sala|Sala|Vuxen 45 kr (badentré); aufguss-bastu +30 kr (ons 19:00–21:00, 18+)|Mån 06:00–08:00 (endast motionssim); Tis 12:00–18:00; Ons 06:00–08:00 (endast motionssim), 12:00–21:00 (19:00–21:00 18+); Tor 12:00–18:00; Fre 06:00–08:00 (motionssim), 09:30–11:00 (seniorbad), 12:00–15:00, 15:00–19:00 (undervisningsbassäng endast barnfamiljer), 19:00–21:00; Lör 11:00–15:00; Sön 11:00–15:00|https://www.sala.se/info/14135/
