Namn|Adress|Stad/kommun|Avgift|Öppettider|Webbplats
Solbergabadet|Skolportsgatan 10, 621 81 Visby|Gotland (Region Gotland)|Vuxna 55 kr; Barn/pensionär/student/arbetssökande/Endast dusch & bastu 35 kr|Varierar per vecka (veckoschema på webbplats)|https://gotland.se/kultur-och-fritid/idrott-motion-och-friluftsliv/simhallar/solbergabadet
Hemsebadet|Norrgatan 12, 623 50 Hemse|Gotland (Region Gotland)|Vuxna 55 kr; Barn/pensionär/student/arbetssökande/Endast dusch & bastu 35 kr|Varierar per vecka (veckoschema på webbplats)|https://gotland.se/kultur-och-fritid/idrott-motion-och-friluftsliv/simhallar/hemsebadet
Kustparksbadet (Gotlands IdrottsCenter simhall)|Kustparksvägen 10, 624 70 Fårösund|Gotland (Gotlands IdrottsCenter/Region Gotland-tider)|Entré vuxna 55 kr; Entré övriga 35 kr|Tis Motionssim 07.00-09.00 & 15.00-17.00; Bad & lek 17.00-19.00. Ons Motionssim 15.00-16.00; Bad & lek 16.00-18.00. Fre Motionssim 07.00-09.00 & 15.00-17.00; Bad & lek 17.00-19.00. Sön Bad & lek 11.00-15.00; Motionssim 15.00-16.00|https://www.gotlandsidrottscenter.se/tr%C3%A4na/simhallen-21361321
Burgsviks Havsbastu|Burgsviks hamn 6, Burgsvik|Gotland (Burgsvik)|Vuxna 60 kr; Pensionärer 40 kr; Ungdom 12-18 år 40 kr; Barn under 12 gratis|Sön Mix 17-19; Dam 19-21. Ons Dam 17-19; Mix 19-21|https://burgsvikshavsbastu.se/
Vidhave (bastu & kallbad vid Snäck)|Snäckviksvägen 55, Visby|Gotland (Visby)|Allmän plats 90 kr/person (1 tim); Privat bastu från 1200 kr|Ons 06.00-08.00; Tor 16.00-20.00; Fre 12.00-15.00; Lör 14.00-21.00; Sön 09.00-16.00|https://vidhave.se/varmbadet/
Havsspa Gotland (bastubåt/badbåt, Flundreviken)|Snäckgärdsvägen 33, 621 41 Visby (Flundreviken)|Gotland (Visby)|100 kr/vuxen; 50 kr/barn (1-2h); Ved & förtändning 150 kr per båt|Bokningsbar alla tider på dygnet (enligt webbplats)|https://havsspa.se/
Vändburgs bastuflotte|Vändburgs gamla fiskeläge, 623 32 Burgsvik|Gotland (Burgsvik)|550 kr (boka bara bastun); Ved ingår (50 kr)|Bokningsbar via kalender (se bokningssida)|https://vandburgs-bastuflotte.bokamera.se/
Surflogiet (bastu vid havet)|Eskelhem Toftavägen 374, 622 66 Visby|Gotland (Visby)|Okänd|Boka bastu hela året om|https://www.surflogiet.se/
Sudersand Resort (bastu/relax)|Sudersand 5650, 624 67 Fårö|Gotland (Fårö)|Strandbastun från 195 kr/person; Bastu med relax från 160 kr/person|Okänd (bokas via anläggningen)|https://www.sudersand.se/bastu/
