Namn|Adress|Stad/kommun|Avgift|Öppettider|Webbplats
Varbergs Kallbadhus (Kallbadhuset i Varberg)|Otto Torells gata 7, 432 44 Varberg|Varberg|100 kr (vuxen)|Ons 13:00-20:00; Fre 11:00-17:00; Lör 09:00-17:00; Sön 09:00-17:00 (vintersäsong v33–23)|https://kallbadhuset.se/
Pingvinen (simhall, bastu)|Simhallsgatan 1, 432 45 Varberg|Varberg|138 kr (vuxen, hela bad anläggningen)|Aktivitetsbad: Mån–Fre 09:00-19:30; Lör–Sön 08:00-17:00 (se webbplats för fler tider/avvikelser)|https://www.medley.se/pingvinen/
Kungsbacka Badhus (relax/bastu)|Kungsbacka Sportcenter 2A, 434 50 Kungsbacka|Kungsbacka|130 kr (vuxen, motionssim och familjebad)|Familjebad: Mån 09:00-19:00; Tis–Fre 09:00-20:00; Lör–Sön 09:00-17:00 (se webbplats för fler tider/avvikelser)|https://www.medley.se/kungsbacka-badhus/
Halmstad Arena Bad (bastur)|Växjövägen 11, 302 44 Halmstad|Halmstad|99 kr (vuxen, 1 bad)|Mån 12:00-19:00; Tis 10:00-19:00; Ons 10:00-19:00; Tor 10:00-18:00; Fre 10:00-19:00; Lör 10:00-17:30; Sön 10:00-17:30|https://www.halmstadarena.se/bad.html
Klitterbadet (badhus med bastu/relax)|Havsbadsallén, 311 42 Falkenberg|Falkenberg|35 kr (vuxen)|Okänd (öppettider/avvikelser publiceras på webbplats)|https://www.klitterbadet.se/
Folkhälsocentrum (simhall, bastu)|Bättringsvägen 4, 312 31 Laholm|Laholm|65 kr (vuxen, 1 bad)|Mån 14:30-19:30; Tis 06:00-08:00 & 13:00-19:30; Ons 13:00-18:00 & 18:00-20:00; Tor 06:00-08:00 & 13:00-19:30; Fre 13:00-19:30; Lör 10:30-15:30; Sön 10:30-15:30|https://www.laholm.se/uppleva-och-gora/idrott-motion-och-friluftsliv/simhall
