Namn|Adress|Stad/kommun|Avgift|Öppettider|Webbplats
Karlshamns Kallbadhus|Bakom Väggabadet, Saltsjöbadsvägen 6, 374 30 Karlshamn|Karlshamn|Endagstag 100 kr|Mån stängt; Tis 14:00-21:00; Ons 08:00-21:00; Tor 08:00-17:00; Fre 08:00-19:00; Lör 08:00-18:00; Sön 08:00-20:00|https://kallbad.com/
Väggabadet (bastu/arombastu)|Saltsjöbadsvägen 6, 374 30 Karlshamn|Karlshamn|Entré vuxen 80 kr; arombastu +40 kr|Varierar (se schema på webbplats)|https://vaggabadet.karlshamn.se/
Karlskrona simhall (bastu)|Norra Kungsgatan 32, 371 14 Karlskrona|Karlskrona|Vuxen 71 kr|Varierar (se öppettider på webbplats)|https://www.karlskrona.se/kultur-fritid-och-turism/idrott-och-motion/simhallar-och-utebad/
Rödeby simhall (bastu)|Rödebyvägen 42 D, 373 42 Rödeby|Karlskrona|Vuxen 71 kr|Varierar (se öppettider på webbplats)|https://www.karlskrona.se/kultur-fritid-och-turism/idrott-och-motion/simhallar-och-utebad/
Ronneby simhall (bastu)|Blasius Königsgatan 29, 372 35 Ronneby|Ronneby|Vuxen 41 kr|Varierar (se öppettider på webbplats)|https://www.ronneby.se/uppleva--gora/idrott-motion-och-friluftsliv/idrottsanlaggningar/simhallar.html
Kallinge simhall (bastu)|Skolvägen 4, 372 50 Kallinge|Ronneby|Vuxen 41 kr|Varierar (se öppettider på webbplats)|https://www.ronneby.se/uppleva--gora/idrott-motion-och-friluftsliv/idrottsanlaggningar/simhallar.html
Victoriabadet (bastu/ångbastu)|Herrgårdsvägen 97, 294 37 Sölvesborg|Sölvesborg|Vuxen 70 kr|Tors 13:00-17:00; Fre 14:00-19:00; Lör 10:00-15:00|https://valjeviken.se/victoriabadet/
