Namn|Adress|Stad/kommun|Avgift|Öppettider|Webbplats
Valhallabadet|Valhallagatan 3, 412 51 Göteborg|Göteborg|94 kr (vuxen, engångsavgift)|Mån 06:30–19:00; Tis 07:00–19:00; Ons 06:30–19:00; Tor 07:00–19:00; Fre 06:30–19:00; Lör 07:00–15:00; Sön 11:00–15:00|https://gotevent.se/vara-arenor/valhallabadet/
Lundbybadet|Lantmannagatan 5, 417 11 Göteborg|Göteborg|Okänd|Okänd (dagens/avvikande tider; se webbplats)|https://goteborg.se/wps/portal?uri=gbglnk%3A201551810640
Rimnersbadet|Edingsvägen 81, 451 52 Uddevalla|Uddevalla|50 kr (vuxen dagtid vardagar före 15:00); 80 kr (vuxen övrig tid)|Mån 06:15–21:30; Tis 08:00–21:30; Ons 06:15–21:30; Tor 08:00–21:30; Fre 06:15–21:30; Lör 08:00–18:00; Sön 08:00–18:00|https://rimnersbadet.se/oppet-och-priser.html
Aqua Vitalis (Arena Skövde)|Egnells väg 1, 541 30 Skövde|Skövde|Lågtryck: 199 kr webb / 219 kr kassa (vuxen 18+); Högtryck: 280 kr webb / 300 kr kassa (vuxen 18+)|Varierar (aktuella tider; se webbplats)|https://arenaskovde.se/aqua-vitalis/
Lysekils Kallbadhus|Carlavägen 4, 453 30 Lysekil|Lysekil|100 kr (enstaka bastubad för icke-medlem)|15 jun–31 aug: 07:00–21:00; övriga tider: Okänd (se webbplats)|https://lysekilkallbadhus.se/
Strömstads Kallbadhus|Badhusgatan 2, 452 30 Strömstad|Strömstad|60 kr (vinterbad med bastu)|1 sep–31 maj: Tis 17:00–20:00; Tor 17:00–20:00; Sön 11:00–16:00; jun–aug: öppet dagligen (exakta tider Okänd)|https://www.vastsverige.com/stromstad/produkter/kallbadhus/
Dalsjöbadet (ute-bastu)|Bollvägen 10, 516 34 Dalsjöfors|Borås|72 kr (vuxen, engångsbiljett)|Mån 06:15–08:15 & 15:30–18:00; Tis 15:30–19:45; Ons 06:15–08:15 & 15:30–19:45; Tor 06:15–08:15 & 15:30–19:45; Fre 06:15–08:15 & 11:00–19:45|https://www.boras.se/upplevaochgora/simhallarochbadplatser/simhallar/dalsjobadet/bastu.4.3a190f22158fdcf7b0c955d4.html
Hjo Vedbastu|Äskelid Gärdhem 1, 544 94 Hjo|Hjo|150 kr/person (min 300 kr; max 900 kr) för 3h|Okänd (bokning; du hyr bastun 3h)|https://hjovedbastu.se/
