Namn;Adress;Stad/kommun;Avgift;Öppettider;Webbplats
Bjerreds Saltsjöbad (Kallbadhus)|Bjerreds Saltsjöbad (bryggan), Bjärred|Lomma kommun|Endagsbad 100 kr (barn under 7: gratis)|06:00–22:00 alla dagar (sista inpass 21:30; bastu stänger 21:45)|https://bjerredskallbadhus.se/badet/
Råå Kallbadhus (Rååbadarna)|Batteritorget 1, 252 70 Helsingborg|Helsingborgs kommun|Bastu (icke medlem): 100 kr. Havsbad (icke medlem): vuxen 50 kr; ungdom 12–15: 25 kr|Bastubyggnad: Mån stängt; Tis–Fre 13:00–20:00; Lör 08:00–16:00; Sön 08:00–20:00 (havsbad från kl. 09)|https://raabadarna.se/
Kvickbadhuset Höganäs|Bruksgatan 14A, 263 39 Höganäs|Höganäs kommun|Enstaka bad 50 kr|Sommartider (1/6–14/9 2026): Tis 16:30–19:00; Ons 16:30–19:00; Tors 16:30–19:00; Fre 16:30–19:00; Lör–Sön 08:00–11:00|https://kvickbadhuset.se/oppettider-priser/
Ystad Arena Bad|Fridhemsgatan 27, 271 45 Ystad|Ystad kommun|Vuxen 100 kr (familjebad) / 85 kr (motionsbassäng) enligt prislista|Okänd|https://ystad.se/uppleva-och-gora/idrott-motion-och-aktiviteter/bad/ystad-arena-bad
Trelleborgs badhus|Östra Vallgatan 6, 231 52 Trelleborg|Trelleborgs kommun|Okänd|Okänd|https://www.trelleborg.se/uppleva-gora/idrott-motion-och-friluftsliv/simhallar-badhus/badhus/
Kallbadhuset i Båstad (Hotel Skansen – Kallbadhuset)|Kyrkogatan 2, 269 33 Båstad|Båstads kommun|Externa gäster: 130 kr (mån–tor) / 175 kr (fre–sön & röda dagar)|Okänd|https://hotelskansen.se/spa/kallbadhuset/
