Namn|Adress|Stad/kommun|Avgift|Öppettider|Webbplats
Navet badhus (relax med bastu)|Västra Kyrkogatan 6A|Umeå kommun|Motionssim (vuxen) 85 kr; Relax 200 kr (mån–tors) / 250 kr (fre–sön)|Varierar (se webbplats)|https://www.navet.umea.se/
Ersboda Bad & Gym (bastu i anslutning till bad)|Trattgränd 1E, 906 25 Umeå|Umeå kommun|Okänd|Okänd|https://www.umesim.nu/foreningen/anlaggningar/ersboda-bad-gym/
Eddahallen (bad + relax/bastu)|Norrvallagatan 1, 931 37 Skellefteå|Skellefteå kommun|Vuxen 80 kr; Relax +60 kr|Varierar per dag (se webbplats)|https://skelleftea.se/invanare/startsida/uppleva-och-gora/idrott-motion-och-hallar/badhus/eddahallen
Bureå badhus (bastu)|Skellefteå kommun (Bureå)|Skellefteå kommun|Vuxen 55 kr|Varierar per dag (schema på webbplats)|https://skelleftea.se/invanare/startsida/uppleva-och-gora/idrott-motion-och-hallar/badhus/burea-badhus
Burträsk badhus (gym + bastu)|Villagatan 5, 937 31 Burträsk|Skellefteå kommun|Vuxen 55 kr|Varierar per dag (schema på webbplats)|https://skelleftea.se/invanare/startsida/uppleva-och-gora/idrott-motion-och-hallar/badhus/burtrask-badhus
Hammarhallen (simhall + basta)|Kungsvägen 29, 914 32 Nordmaling|Nordmalings kommun|Vuxen 42 kr|Öppettider 2026 (varierar; se webbplats)|https://www.nordmaling.se/aktiv/idrott-motion-och-friluftsliv/idrottsanlaggningar-och-hallar/hammarhallen-sim–och-sporthall/hammarhallens-simhall
Lycksele Simhall (bastu)|Norra Torggatan 11, 921 31 Lycksele|Lycksele kommun|Vuxen 90 kr|Mån–fre 12.00–19.30; lör 10.00–14.30|https://www.lyckselesimhall.se/
Norsjö simhall (bastu i omklädningsrum)|Storgatan 67, 935 81 Norsjö|Norsjö kommun|Vuxen 50 kr|Varierar (t.ex. må 14.00–18.30; ti 07.00–08.00; to 14.00–20.00; se webbplats för fulla tider)|https://norsjo.se/kultur-fritid/fritidsanlaggningar/simhall/
Vindelns simhall (bastu)|Storvägen 40, 922 32 Vindeln|Vindelns kommun|Vuxen 60 kr|1 okt 2025–30 apr 2026: mån 17.00–20.00; ti 06.00–08.20; on 06.00–08.20; to 15.00–20.00; fre 12.00–19.00; sön 12.30–15.30 (småbarn 11.00–12.30). 1 maj 2026–30 sep 2026: mån 17.00–20.00; on 06.00–08.20; to 16.00–20.00; fre 16.00–20.00|https://vindeln.se/uppleva-och-gora/idrottsanlaggningar/simhall
