Namn|Adress|Stad/kommun|Avgift|Öppettider|Webbplats
Fjällnora (vedeldade bastur – vildmarksrelax)|Fjällnora 35, 741 77 Uppsala|Uppsala (Uppsala kommun)|Bokning 2 h: 8A/8B 1000 kr, 10:an 1300 kr, 12:an 1100 kr|Okänd|https://www.uppsala.se/fjallnora
Fyrishov (simhall/äventyrsbad – bastu i anslutning)|Idrottsgatan 2, 753 33 Uppsala|Uppsala (Uppsala kommun)|Badentré enkelbiljett vuxen 135 kr|Äventyrsbadet: alla dagar 09.00–19.00; Simhallen: mån–fre 06.00–21.30, lör/sön/helg 07.30–21.00|https://fyrishov.se/
Gottsundabadet (simhall – bastu i omklädning)|Valthornsvägen 11, 756 50 Uppsala|Uppsala (Uppsala kommun)|Badentré enkelbiljett vuxen 105 kr|Simhall: mån–fre 06.30–21.00; lör/sön/helg 08.00–20.00|https://gottsundabadet.se/
KFUM Alnäs (bastu att hyra)|Mälarvägen 14–16, 756 53 Uppsala|Uppsala (Uppsala kommun)|750 kr/3 h ( +250 kr per extra timme)|Okänd|https://kfumalnas.se/bastu/
Sunnerstastugan (bastu att hyra)|Dag Hammarskjölds väg 270, 756 52 Uppsala|Uppsala (Uppsala kommun)|147 kr/person/3 h eller 700 kr/grupp/3 h|Mån–tors 15.00–18.00; fre 15.00–21.00; lör–sön 10.00–16.00|https://sunnerstastugan.se/bastu-och-omklad/
Hågaby Forest Sauna (vedeldad bastu att hyra)|Hågavägen 43, 752 63 Uppsala|Uppsala (Uppsala kommun)|125 kr/vuxen, 50 kr/barn; minpris 500 kr/3 h|Bokningsbara starttider (3 h): 09, 12, 15, 18 (vardagar); även 21 (fre–sön/röda dagar)|https://forestsauna.se/
